country,continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Afghanistan,Asia,W,2.2,3.6,32.5,43.5,0.25,0.01,1010.5,29.835,10,6,1,1.55,2.5
Albania,Europe,E,2.2,3.6,85,0,0,0,1017.333333,30.04,10,6,1,7.9,12.73333333
Albania,Europe,N,2.2,3.6,100,75,4.5,0.18,1011,29.85,10,6,1,7.8,12.6
Albania,Europe,NW,3.4,5.4,78.5,25,0,0,1014.5,29.955,10,6,1,10.5,16.9
Albania,Europe,S,3.8,6.1,73,75,0,0,1006,29.71,10,6,1,14.5,23.4
Algeria,Africa,E,6.35,10.25,63.5,50,3.2,0.125,1010,29.83,10,6,1,12.75,20.55
Algeria,Africa,NE,6.9,11.2,78,25,0,0,1017,30.03,10,6,1,10.3,16.6
Algeria,Africa,S,8.1,13,29,50,0,0,1010,29.83,3.5,2,1,29.8,47.9
Algeria,Africa,SE,2.5,4,78,25,0,0,1017,30.03,10,6,1,14.1,22.7
Algeria,Africa,W,10.5,16.9,79,50,0,0,1014,29.94,8,4,1,16.1,25.9
Andorra,Europe,N,3.45,5.6,93,35.5,0,0,1016,30.005,6,3.5,1,5.55,9
Andorra,Europe,S,3.85,6.1,73.5,41,0.55,0.02,1020,30.12,9.5,5.5,1,7.9,12.8
Andorra,Europe,SE,2.966666667,4.8,69.33333333,28.66666667,0.033333333,0,1021.666667,30.16,10,6,1,5.6,9
Angola,Africa,S,7.05,11.35,91,37.5,0,0,1014.5,29.955,9.5,5.5,1,9.65,15.5
Angola,Africa,SE,6.9,11.2,94,25,0,0,1014,29.94,8,4,1,10.1,16.2
Angola,Africa,SW,5.6,9,87,56.25,0,0,1014.25,29.9475,9.25,5.25,1,9.95,16
Angola,Africa,W,3.25,5.2,78.5,75,0.05,0,1015.5,29.985,9,5,3.5,7.4,11.9
Antigua and Barbuda,America,E,7.857142857,12.65714286,75.42857143,48.14285714,0.071428571,0.001428571,1015,29.97,10,6,1,20.22857143,32.55714286
Antigua and Barbuda,America,NE,9.3,14.95,74.5,37.5,0.1,0.005,1011.5,29.865,10,6,3.5,18.55,29.85
Antigua and Barbuda,America,SE,4.3,6.8,74.5,25,0,0,1013,29.91,10,6,1,18.9,30.45
Argentina,America,E,8.75,14.05,72,0,0,0,1017.5,30.045,10,6,1,11.55,18.55
Argentina,America,NE,2.2,3.6,51,0,0,0,1012,29.88,10,6,1,4.3,6.8
Argentina,America,S,8.966666667,14.4,76,33.33333333,0.1,0.003333333,1016.333333,30.01,10,6,1,11.4,18.36666667
Armenia,Asia,E,4.7,7.55,32.5,0,0,0,1013.5,29.925,10,6,1,9.6,15.5
Armenia,Asia,N,7.05,11.35,42.5,0,0,0,1012,29.88,10,6,1,12.1,19.45
Armenia,Asia,NE,7.5,12.05,45.25,0,0,0,1013.25,29.9175,10,6,2,11.775,19
Armenia,Asia,S,5.6,9,26,25,0,0,1003,29.62,10,6,8,5.1,8.3
Armenia,Asia,SE,3.8,6.1,36,0,0,0,1014,29.94,10,6,1,13.2,21.2
Australia,Australia,N,6.85,10.95,81,37.5,0,0,1017.5,30.045,10,6,2,5.35,8.65
Australia,Australia,NW,21.7,34.9,62,50,0.2,0.01,1015,29.97,10,6,2,22.1,35.6
Australia,Australia,S,15,24.1,50,0,0,0,1021,30.15,10,6,3,8.5,13.7
Australia,Australia,SW,5.6,9,76,0,0,0,1022,30.18,10,6,4,1.3,2.2
Australia,Australia,W,14.3,23.05,41.5,37.5,0,0,1012.5,29.895,10,6,4.5,15,24.1
Austria,Europe,NW,7.975,12.8,74.75,25,0,0,1016.75,30.0275,10,6,1.75,10.575,17
Austria,Europe,S,6.25,10.1,72.5,0,0,0,1022,30.18,10,6,1,6.25,10.05
Austria,Europe,SW,3.8,6.1,83,0,0,0,1021,30.15,10,6,1,5.8,9.4
Azerbaijan,Asia,N,12.675,20.425,66.75,12.5,0,0,1009.75,29.815,10,6,2.5,18.15,29.25
Azerbaijan,Asia,NW,4.3,6.8,83,50,0,0,1015,29.97,10,6,1,10.1,16.2
Azerbaijan,Asia,S,5.466666667,8.733333333,69.66666667,6,0,0,1013.333333,29.92333333,10,6,1,6.766666667,10.93333333
Bahamas,America,E,10.725,17.275,61.5,31.25,0,0,1014,29.95,10,6,7,18.075,29.05
Bahamas,America,NE,10.85,17.5,72.5,75,0,0,1015.5,29.99,10,6,7,20.05,32.25
Bahamas,America,S,12.5,20.2,79,75,0,0,1014,29.93,10,6,1,21.7,34.9
Bahamas,America,SE,12.5,20.2,70,75,0,0,1013,29.9,10,6,7,15,24.1
Bahamas,America,SW,8.9,14.4,80,8,0,0,1012,29.87,10,6,1,12.3,19.8
Bahrain,Asia,E,5.6,9,67,0,0,0,1001,29.56,10,6,1,7.6,12.2
Bahrain,Asia,NW,7.5,12.1,65.5,0,0,0,1002.5,29.605,10,6,1,17.1,27.55
Bahrain,Asia,S,3.8,6.1,63,0,0,0,1002,29.59,9,5,1,4.7,7.6
Bahrain,Asia,SE,6.85,11,71,0,0,0,1001,29.56,8.5,5,1,11.3,18.15
